,0
0,194000
1,195000
2,196000
3,197000
4,198000
5,199000
6,200000
7,201000
8,202000
9,203000
10,204000
11,205000
12,206000
13,207000
14,208000
15,209000
16,210000
17,211000
18,212000
19,213000
20,214000
21,215000
22,216000
23,217000
24,218000
25,219000
26,220000
27,221000
28,222000
29,223000
30,224000
31,225000
32,226000
33,227000
34,228000
35,229000
36,230000
37,231000
38,232000
39,233000
40,234000
41,235000
42,236000
43,237000
44,238000
45,239000
46,240000
47,241000
48,242000
49,243000
50,244000
51,245000
52,246000
53,247000
54,248000
55,249000
56,250000
57,251000
58,252000
59,253000
60,254000
61,255000
62,256000
63,257000
64,258000
65,259000
66,260000
67,261000
68,262000
69,263000
70,264000
71,265000
72,266000
73,267000
74,268000
75,269000
76,270000
77,271000
78,272000
79,273000
80,274000
81,275000
82,276000
83,277000
84,278000
85,279000
86,280000
87,281000
88,282000
89,283000
90,284000
91,285000
92,286000
93,287000
94,288000
95,289000
96,290000
97,291000
98,292000
99,293000
100,294000
101,295000
102,296000
103,297000
104,298000
105,299000
106,300000
107,301000
108,302000
109,303000
110,304000
111,305000
112,306000
113,307000
114,308000
115,309000
116,310000
117,311000
118,312000
119,313000
120,314000
121,315000
122,316000
123,317000
124,318000
125,319000
126,320000
127,321000
128,322000
129,323000
130,324000
131,325000
132,326000
133,327000
134,328000
135,329000
136,330000
137,331000
138,332000
139,333000
140,334000
141,335000
142,336000
143,337000
144,338000
145,339000
146,340000
147,341000
148,342000
149,343000
150,344000
151,345000
152,346000
153,347000
154,348000
155,349000
156,350000
157,351000
158,352000
159,353000
160,354000
161,355000
162,356000
163,357000
164,358000
165,359000
166,360000
167,361000
168,362000
169,363000
170,364000
171,365000
172,366000
173,367000
174,368000
175,369000
176,370000
177,371000
178,372000
179,373000
180,374000
181,375000
182,376000
183,377000
184,378000
185,379000
186,380000
187,381000
188,382000
189,383000
190,384000
191,385000
192,386000
193,387000
194,388000
195,389000
196,390000
197,391000
198,392000
199,393000
200,394000
201,395000
202,396000
203,397000
204,398000
205,399000
206,400000
207,401000
208,402000
209,403000
210,404000
211,405000
212,406000
213,407000
214,408000
215,409000
216,410000
217,411000
218,412000
219,413000
220,414000
221,415000
222,416000
223,417000
224,418000
225,419000
226,420000
227,421000
228,422000
229,423000
230,424000
231,425000
232,426000
233,427000
234,428000
235,429000
236,430000
237,431000
238,432000
239,433000
240,434000
241,435000
242,436000
243,437000
244,438000
245,439000
246,440000
247,441000
248,442000
249,443000
250,444000
251,445000
252,446000
253,447000
254,448000
255,449000
256,450000
257,451000
258,452000
259,453000
260,454000
261,455000
262,456000
263,457000
264,458000
265,459000
266,460000
267,461000
268,462000
269,463000
270,464000
271,465000
272,466000
273,467000
274,468000
275,469000
276,470000
277,471000
278,472000
279,473000
280,474000
281,475000
282,476000
283,477000
284,478000
285,479000
286,480000
287,481000
288,482000
289,483000
290,484000
291,485000
292,486000
293,487000
294,488000
295,489000
296,490000
297,491000
298,492000
299,493000
300,494000
301,495000
302,496000
303,497000
304,498000
305,499000
306,500000
307,501000
308,502000
309,503000
310,504000
311,505000
312,506000
313,507000
314,508000
315,509000
316,510000
317,511000
318,512000
319,513000
320,514000
321,515000
322,516000
323,517000
324,518000
325,519000
326,520000
327,521000
328,522000
329,523000
330,524000
331,525000
332,526000
333,527000
334,528000
335,529000
336,530000
337,531000
338,532000
339,533000
340,534000
341,535000
342,536000
