,0
0,467000
1,468000
2,469000
3,470000
4,471000
5,472000
6,473000
7,474000
8,475000
9,476000
10,477000
11,478000
12,479000
13,480000
14,481000
15,482000
16,483000
17,484000
18,485000
19,486000
20,487000
21,488000
22,489000
23,490000
24,491000
25,492000
26,493000
27,494000
28,495000
29,496000
30,497000
31,498000
32,499000
33,500000
34,501000
35,502000
36,503000
37,504000
38,505000
39,506000
40,507000
41,508000
42,509000
43,510000
44,511000
45,512000
46,513000
47,514000
48,515000
49,516000
50,517000
51,518000
52,519000
53,520000
54,521000
55,522000
56,523000
57,524000
58,525000
59,526000
60,527000
61,528000
62,529000
63,530000
64,531000
65,532000
66,533000
67,534000
68,535000
69,536000
70,537000
71,538000
72,539000
73,540000
74,541000
75,542000
76,543000
77,544000
78,545000
79,546000
80,547000
81,548000
82,549000
83,550000
84,551000
85,552000
86,553000
87,554000
88,555000
89,556000
90,557000
91,558000
92,559000
93,560000
94,561000
95,562000
96,563000
97,564000
98,565000
99,566000
100,567000
101,568000
102,569000
103,570000
104,571000
105,572000
106,573000
107,574000
108,575000
109,576000
110,577000
111,578000
112,579000
113,580000
114,581000
115,582000
116,583000
117,584000
118,585000
119,586000
120,587000
121,588000
122,589000
123,590000
124,591000
125,592000
126,593000
127,594000
128,595000
129,596000
130,597000
131,598000
132,599000
133,600000
134,601000
135,602000
136,603000
137,604000
138,605000
139,606000
140,607000
141,608000
142,609000
143,610000
144,611000
145,612000
146,613000
147,614000
148,615000
149,616000
150,617000
151,618000
152,619000
153,620000
154,621000
155,622000
156,623000
157,624000
158,625000
159,626000
160,627000
161,628000
162,629000
163,630000
164,631000
165,632000
166,633000
167,634000
168,635000
169,636000
170,637000
171,638000
172,639000
173,640000
174,641000
175,642000
176,643000
177,644000
178,645000
179,646000
180,647000
181,648000
182,649000
183,650000
184,651000
185,652000
186,653000
187,654000
188,655000
189,656000
190,657000
191,658000
192,659000
193,660000
194,661000
195,662000
196,663000
197,664000
198,665000
199,666000
200,667000
201,668000
202,669000
203,670000
204,671000
205,672000
206,673000
207,674000
208,675000
209,676000
210,677000
211,678000
212,679000
213,680000
214,681000
215,682000
216,683000
217,684000
218,685000
219,686000
220,687000
221,688000
222,689000
223,690000
224,691000
225,692000
226,693000
227,694000
228,695000
229,696000
230,697000
231,698000
232,699000
233,700000
234,701000
235,702000
236,703000
237,704000
238,705000
239,706000
240,707000
241,708000
242,709000
243,710000
244,711000
245,712000
246,713000
247,714000
248,715000
249,716000
250,717000
251,718000
252,719000
253,720000
254,721000
255,722000
256,723000
257,724000
258,725000
259,726000
260,727000
261,728000
262,729000
263,730000
264,731000
265,732000
266,733000
267,734000
268,735000
269,736000
270,737000
271,738000
272,739000
273,740000
274,741000
275,742000
276,743000
277,744000
278,745000
279,746000
280,747000
281,748000
282,749000
283,750000
284,751000
285,752000
286,753000
287,754000
288,755000
289,756000
290,757000
291,758000
292,759000
293,760000
294,761000
295,762000
296,763000
297,764000
298,765000
299,766000
300,767000
301,768000
302,769000
303,770000
304,771000
305,772000
306,773000
307,774000
308,775000
309,776000
310,777000
311,778000
312,779000
313,780000
314,781000
315,782000
316,783000
317,784000
318,785000
319,786000
320,787000
321,788000
322,789000
323,790000
324,791000
325,792000
326,793000
327,794000
328,795000
329,796000
330,797000
331,798000
332,799000
333,800000
334,801000
335,802000
336,803000
337,804000
338,805000
339,806000
340,807000
341,808000
342,809000
